species,decimalLatitude,decimalLongitude,eventDate,day,month,year
Lamproderma ovoideum,45.1153,5.612472,2021-04-26T15:04:00,26,4,2021
Lamproderma pseudomaculatum,58.560458,26.781423,2021-04-11T00:00:00,11,4,2021
Lamproderma arcyrioides,58.560458,26.781423,2021-04-11T00:00:00,11,4,2021
Lamproderma arcyrioides,61.271233,8.048555,2021-06-05T00:00:00,5,6,2021
Lamproderma arcyrioides,61.270849,7.962523,2021-06-03T00:00:00,3,6,2021
Lamproderma arcyrioides,61.273172,8.046569,2021-06-06T00:00:00,6,6,2021
Lamproderma arcyrioides,61.271026,8.051977,2021-06-04T00:00:00,4,6,2021
Lamproderma arcyrioides,61.271172,8.052157,2021-06-04T00:00:00,4,6,2021
Lamproderma arcyrioides,61.271168,8.049363,2021-06-04T00:00:00,4,6,2021
Lamproderma arcyrioides,61.270849,7.962792,2021-06-03T00:00:00,3,6,2021
Lamproderma ovoideum,61.270849,7.962523,2021-06-03T00:00:00,3,6,2021
Lamproderma splendens,61.271125,8.049435,2021-06-04T00:00:00,4,6,2021
Lamproderma ovoideum,69.510201,20.626388,2021-06-05T00:00:00,5,6,2021
Lamproderma pseudomaculatum,69.506773,20.623414,2021-06-05T00:00:00,5,6,2021
Lamproderma ovoideum,69.510207,20.626415,2021-06-05T00:00:00,5,6,2021
Lamproderma arcyrioides,60.902814,11.310921,2021-05-14T00:00:00,14,5,2021
Lamproderma pseudomaculatum,69.510226,20.626298,2021-06-05T00:00:00,5,6,2021
Lamproderma ovoideum,69.510295,20.626433,2021-06-04T00:00:00,4,6,2021
Lamproderma aeneum,61.014538,11.185049,2021-05-18T00:00:00,18,5,2021
Lamproderma ovoideum,69.510286,20.626406,2021-06-04T00:00:00,4,6,2021
Lamproderma ovoideum,69.510298,20.626397,2021-06-04T00:00:00,4,6,2021
Lamproderma aeneum,61.015103,11.185031,2021-05-18T00:00:00,18,5,2021
Lamproderma ovoideum,61.216175,12.049345,2021-05-16T00:00:00,16,5,2021
Lamproderma ovoideum,61.007189,11.175258,2021-05-21T00:00:00,21,5,2021
Lamproderma ovoideum,61.248461,11.987425,2021-05-16T00:00:00,16,5,2021
Lamproderma arcyrioides,61.007145,11.17568,2021-05-21T00:00:00,21,5,2021
Lamproderma aeneum,61.271319,7.966296,2021-06-03T00:00:00,3,6,2021
Lamproderma arcyrioides,60.906575,11.31173,2021-05-11T00:00:00,11,5,2021
Lamproderma arcyrioides,60.902264,11.314425,2021-05-14T00:00:00,14,5,2021
Lamproderma ovoideum,61.248452,11.987353,2021-05-16T00:00:00,16,5,2021
Lamproderma ovoideum,61.172445,12.002813,2021-05-16T00:00:00,16,5,2021
Lamproderma ovoideum,61.17241,12.002777,2021-05-16T00:00:00,16,5,2021
Lamproderma ovoideum,61.153333,11.983113,2021-05-16T00:00:00,16,5,2021
Lamproderma ovoideum,61.248418,11.986975,2021-05-16T00:00:00,16,5,2021
Lamproderma arcyrioides,60.902316,11.314317,2021-05-14T00:00:00,14,5,2021
Lamproderma arcyrioides,61.271803,7.966871,2021-06-03T00:00:00,3,6,2021
Lamproderma ovoideum,61.468512,11.987613,2021-05-23T00:00:00,23,5,2021
Lamproderma ovoideum,61.272502,7.9675,2021-06-03T00:00:00,3,6,2021
Lamproderma arcyrioides,61.014777,11.185139,2021-05-18T00:00:00,18,5,2021
Lamproderma ovoideum,61.21614,12.049211,2021-05-16T00:00:00,16,5,2021
Lamproderma arcyrioides,60.961769,11.169823,2021-05-18T00:00:00,18,5,2021
